,quote,fake
10008,"""a sitting sheriff cannot be charged except by a warrant issued by a superior court judge.""",0
10009,"""the united states is 65th out of 142 nations and other territories on equal pay.""",0
10010,"that nearly 74 percent of National Rifle Association members ""support requiring background checks for all gun sales.""",0
10011,"""the stock market has almost tripled since april of 2009.""",0
10012,"secretary of state john kerry, ""when he was a senator, flew to managua and met with a communist dictator there, daniel ortega, and accused the reagan administration of engaging in terrorism.""",1
10013,"since 2009, ""we've cut homelessness (among veterans) by a third.""",0
10014,"under gov scott walker, wisconsin ""projected a $1 billion (budget) surplus and it turns out to be a deficit of $2.2 billion.""",0
10015,the national technical information service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches.,1
10016,"""with the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely.""",1
10017,"when president abraham lincoln signed his emancipation proclamation, ""there were over 300,000 slaveholders who were fighting in the union army.""",0
10019,"atmospheric conditions could push a football’s pressure ""down approximately one-and-a-half pounds per square inch.""",1
10020,"""insured floridians pay about $2,000 for every hospital stay to cover the cost of the uninsured.""",1
10021,there were more people on welfare than working in 2013.,0
10022,"""it will cost $50,000 per enrollee in obamacare over the next 10 years.""",1
10023,"loretta lynch, the new nominee for attorney general, ""was a member of bill clinton's defense team during the 1992 whitewater corruption probe.""",1
10024,"the proposed mine in northern wisconsin would be built without any government oversight, and will be nine miles long.",0
10026,"""we've created more jobs in the united states than every other advanced economy combined since i came into office.""",0
10027,"""i’ll be the only economist in the (u.s.) house.""",0
10028,i spent only $36.29 on my campaign for governor.,0
10029,"under his leadership ""wisconsin median household income"" is up 2.7%, while it is down 1.3% nationally under president obama.",1
10030,"""all (maryland) crabs are born in virginia.""",0
10031,"""(hillary clinton's state department) actually admonished one of her ambassadors because he wasn’t using the proper server.""",0
10032,"""i deployed the texas national guard"" to the texas-mexico border. ""and the policy worked; apprehensions at the border declined 74 percent.""",1
10034,"""[when i was mayor] providence was one of the five renaissance cities of america, according to usa today in those days. money magazine said it was the fifth best city to live in in america. in addition to that, all cities almanac said in 1994, i believe, that it was the safest city in america.""",0
10035,"david perdue ""opposes laws that provide equal pay protections for women.""",1
10036,"""i recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in iraq and syria.""",1
10037,"the non-profit group feeding america is lying when it claims ""that one in five kids is fighting starvation daily"" in the united states.",1
10038,"""mary landrieu voted to take away your gun rights.""",1
10039,"""one-hundred times as many people worked their way from poverty into the american middle class"" during his presidency compared to ronald reagan's presidency.",1
10040,"""1/3 of our kids drop out (of high school), cannot go to college or start a career.""",1
10042,"""over 214,000 doctors opt out of obamacare exchanges.""",1
10043,"""among the developed nations, we are the least economically and socially mobile country in the world.""",0
10044,"""families in del valle, who are city of austin residents, have to drive to bastrop to go to the closest grocery store.""",1
10045,"u.s. rep. steve southerland ""voted to keep the shutdown going.""",0
10046,"after the 2012 redistricting, wisconsin has competitive congressional districts.",1
10047,"""we have a goal of 10 percent of [city of providence] contracts going to women and minority businesses. in reality, less than 1 percent of contracts go to women and minority businesses.""",1
10050,"a 2011 measure passed into law with wendy davis’ support ""removes from the attorney general the ability to settle lawsuits just like"" the school funding case.",1
10051,on support for the affordable care act (obamacare).,0
10052,"donald trump ""has supported a canadian-style universal health care system.""",1
10053,president barack obama met with iranian president hassan rouhani.,1
10054,"""obama’s clean power plan ... eliminates coal-fired power plants.""",1
10055,"the texas capitol faces south toward goliad, in memory of the most horrific battle of the texas revolution.",1
10059,"""94 percent of those that are employed by the department of education at the federal level were deemed by the department as nonessential employees.""",1
10060,"the justice department’s fast and furious gun-walking program ""started in the bush administration.""",1
10061,"scott walker was elected governor on a promise not to take campaign contributions ""from the date of his inauguration until the signing of the state budget,"" but broke it by taking nearly $5.6 million.",1
10063,"""the reason why cubans don't have access to 21st century telecommunications — like smart phones, like access to the internet — is because it is illegal in cuba.""",0
10064,"two-thirds of the federal budget is ""permanent law ... it's permanently appropriated.""",0
10065,"georgia has had 12 school shootings in the two years since the mass killing at sandy hook elementary school, more than any other state.",1
10066,"""a lot of what (cuba’s) survival depends on is venezuelan oil money, which is drying up.""",0
10067,"in the u.s. agreement with the cuban government, ""no commitment was made to allowing the establishment of political parties or to even begin the semblance of a transition to a democracy.""",0
10068,"3,000 americans ""died of gunfire"" between the time of the ebola scare in dallas and the midterm elections.",0
10069,"""this congress made history as the least productive, most unpopular congress in the history of this proud nation.""",0
10070,"""my property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.""",0
10071,"""congress is a very special group of people. more than 80 percent of them never left the united states.""",1
10072,"texas house speaker joe straus said, ‘i do not care if wallace hall swings from a tree.’",1
10073,"the wealth gap between blacks and whites in the united states is ""greater than the black-white wealth gap was in apartheid south africa.""",1
10074,"the home-mortgage deduction is widely thought to be ""a middle-class benefit. it's not -- 73 percent of it goes to people making a quarter-million dollars or more a year.""",1
10076,"the federal deficit would pay for 40 gallons of ""new hampshire maple syrup"" for everyone in the united states.",1
10079,"""al franken said almost exactly what trump said"" about john mccain’s military record.",1
10080,"if women seeking an abortion see their ultrasound, ""the odds are pretty high they're going to keep the baby.""",0
10081,the murder rate in atlanta is on the rise this year.,0
10082,"""college tuition rates in texas jumped by 55% since 2003.""",1
10083,"""documents released from the soviet union"" show ""the soviet union started treating"" president ronald reagan more seriously after reagan fired the air traffic controllers.",0
10085,"""in iraq and syria, american leadership, including our military power, is stopping (the islamic state’s) advance.""",0
10086,"since gov nathan deal office in 2011, the state’s rainy day fund has grown by 643 percent.",1
10089,"""baltimore spends the third highest per capita on its public schools.""",1
10090,"after laying off 30,000 people, carly fiorina said that in retrospect, ""i would have done them all faster.""",1
10091,"""there are more young black males involved in the criminal justice system than there are in higher education.""",1
10092,"the united states ""is not modernizing its nuclear weapons.""",1
10093,"the united states ""is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.""",0
10094,"i ""helped pass what, if enacted, would be the largest tax cut in texas history through the state senate.""",0
10095,the republican party has not won a presidential election without either a bush or a nixon on the ticket since 1928.,1
10099,"the united states has ""more of our people in prison than russia, china, and north korea combined.""",1
10100,"""it has been many years, if ever, since an inmate has completed his or her high school diploma while incarcerated in a state correctional facility for adults.""",0
10101,"""nobody suffered any lasting injuries"" from the cia interrogation program.",1
10102,"""greg abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.""",1
10103,mary landrieu voted to fund benefits for illegal immigrants ahead of veterans.,1
10106,"austin has ""over 1,000 city employees that make six-figure salaries.""",0
10107,"""countries bombed: obama 7, bush 4""",0
10109,"""every time [the people from newport tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.""",0
10110,"the federal budget bill ""reauthorizes the overseas private investment corporation, which provides taxpayer dollars so that the four seasons hotel can build a resort in turkey.""",0
10111,"the u.s. has ""5 percent of the world’s population, 25 percent of the world’s known prison population.""",0
10112,health insurance costs for floridians are up 30 percent or more.,1
10114,"under scott walker, ""right now, we’re 46th in the country in terms of new businesses started.""",0
10115,"in the last 10 years, georgia’s middle class income has dropped $6,500.",0
10116,"this congress ""adjourned earliest of any time in congressional history before an election.""",1
10117,"president barack obama has launched ""twice as many strikes (on) countries that are predominantly muslim"" than president george w. bush.",0
10118,"""not even old gen. eisenhower … saluted military personnel"" as president.",1
10119,"congress includes 36 people accused of spousal abuse, 84 arrested for drunk driving in the past year, 71 with terrible credit and more.",1
10120,"social security and medicare are ""a ponzi scheme.""",1
10121,"""the fbi is involved in an investigation about people in the rio grande valley who are using cocaine to buy votes.""",0
10122,"greg abbott ""heads up a party whose platform calls for the repeal of the voting rights act.""",0
10123,"""in 2001 and '02 . . . we had the pension system funded at (the) 100% level in that year, and we did for two years at that point.""",1
10124,"mark warner told politifact national's ""lie of the year"" in 2013.",1
10126,"""thanks to our reforms, the average family will have an extra $322 to spend.""",0
10127,"""michelle nunn’s own plan says she funded organizations linked to terrorists.""",1
10128,"""sen. mark begich cast the deciding vote in favor of president obama’s authority to issue executive amnesty to illegal aliens.""",1
10129,"president barack obama attacked potential terrorist targets in syria in the middle of the night ""to minimize terrorist casualties.""",1
10130,"jason carter ""actually opposed more funding for education in the senate.""",0
10131,"""in 2011, (the islamic state) attempted to attack fort knox.""",1
10132,"was martha kanter ""dispatched to corvallis with $17 million in stimulus money"" to save craig robinson’s job?",1
10134,"president barack obama is ""sending a much larger (force) "" to deal with ebola ""than isis is getting.""",1
10135,"gwen graham ""was a washington lobbyist.""",1
10137,"2014 midterm election spending by ""the left and the right are both equal.""",1
10138,"""we’re above 800 million muslims radicalized, more than half the muslims on earth that’s not a minority. that’s now a majority.""",1
10139,"""jeanne shaheen was principally involved in a plot with lois lerner and president barack obama’s political appointee at the irs to lead a program of harassment against conservative nonprofit groups during the 2012 election""",1
10140,"""more people are losing their insurance (due to obamacare) than are becoming newly insured.""",1
10141,"""25,000 businesses have been created since (scott) walker took office.""",1
10143,"rick scott cut education by over a billion dollars, meaning thousands of teachers ""lost their jobs"" and ""class sizes went up.""",1
10145,"a scott rothstein victim says that he was ""swindled"" by charlie crist.",1
10146,"the u.s. constitution is ""the oldest written constitution still in use today"" among nations.",0
10147,"""the state budget has increased almost $800 million a year in each of the last two years.""",1
10148,"the clintons ""burst through their own self-pronounced guidelines"" by accepting foreign donations. ""there is a clip of bill clinton saying we're not going to take foreign donations.""",1
10149,"he ""raised average family income by 50 percent"" during his tenure as arkansas governor.",1
10152,"the united states is ""about to have the smallest army since before wwii, the smallest navy since wwi and the smallest air force ever.""",0
10154,"americans now ""support strikes (against isis) but the support for ground troops is not there. the support is very thin.""",0
10155,"""last week's three most-viewed television programs were sunday night football, thursday night football and monday night football.""",1
10157,"""when i left office, there was a $7-million surplus in providence,"" but in 2008, the city had a $110-million deficit.",0
10158,"in 2012, ""wall street"" gave scott brown ""more campaign contributions than any other candidate -- $5.3 million.""",1
10159,"the projected revenue from the mayweather/pacquiao fight is ""larger than the annual gdp of 29 different countries.""",1
10160,"a penn state university study found that ""electronic cigarettes . . . are far less addictive than cigarettes.""",0
10161,"the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings.",1
10162,"""the iranians are now saying that what we're saying the deal is and what they understand it to be are two different things.""",0
10164,"""the u.s. representatives that voted to keep militarizing the police received 73 percent more campaign money from the defense industry"" than the representatives who voted to stop it.",1
10165,"dave brat said ""the best way to fix social security would be to give seniors back what they paid in and no more.""",0
10166,"""if we choose obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into medicaid.""",0
10167,"the man who killed a motorist who fatally struck a 2-year-old was ""back on the street"" because he had received a 13-year sentence for bank robbery but only ""served two years.""",1
10168,"""we spent twice as much per capita for health care in this country as the next closest nation.""",1
10169,"rhode island ""charter schools are nationally recognized as outperforming their counterparts across the country.""",0
10170,"""the president referred to the syrian opposition just a few months ago as pharmacists and doctors, and so on.""",0
10171,"""over 40 of our 100 (house of) delegates seats go uncontested every year, and over 40 percent of our state senate seats go uncontested every year.""",0
10172,"glenn grothman pushed through state tax credits that when phased in, ""someone that owns a factory that produces millions in income"" will pay ""less tax than their nephew would if he worked full time at taco bell for minimum wage.""",0
10173,"gina raimondo's ""venture capital firm secured a secret no-bid contract funded by taxpayers.""",1
10174,"mitch mcconnell voted ""three times for corporate tax breaks that send kentucky jobs overseas.""",1
10175,"""i sponsored the new buy american law""",1
10176,"more people are apprehended after illegally crossing the u.s.-mexico border a week ""than are born in texas each week.""",0
10177,"president obama ""has never made a statement ... that he wanted a residual force left (in iraq).""",0
10178,"in texas public schools, ""we spend an average of $12,000 per pupil per year.""",1
10180,"jorge elorza ""wants to impose a municipal income tax.""",1
10181,michelle nunn has acknowledged allowing a convicted felon to hold a fundraiser for her.,0
10182,"""(obama's) entire national security team, including his secretary of state, said we want to arm and train and equip (syrian rebel forces), and he made the unilateral decision to turn them down.""",0
10183,"rick scott ""thinks employers should be able to deny women coverage for birth control.""",0
10186,"a flight from atlanta to houston was canceled due to a ""terrorist dry run.""",1
10187,"""there were fewer civilian casualties in cambodia than there have been from american drone attacks.""",1
10188,"""over the next two years, this $1.8 billion deficit will cost individual wisconsinites $300 each, or $1,200 for families of four.""",1
10190,"""under rick scott, homeowners are paying higher (home insurance) premiums for less coverage.""",0
10191,"a poll found that ""20% of young adults use (smartphones) during sex.""",0
10192,"""fox admits they lie"" and, under the first amendment, ""have the right to lie or deliberately distort news reports on public airwaves.""",1
10193,"mary burke’s madison school district ""will be the only school district left in the state"" to ""ignore the (act 10) law"" in the 2015-16 school year.",0
10194,"cuts to medicare affect people who have already ""paid in. we paid for it.""",1
10196,"u.s. house candidate carlos curbelo ""supported ending the medicare guarantee.""",1
10197,"the united states has ""the most number of deductions available to corporations"" for the corporate income tax.",1
10198,"the united states has ""the highest corporate tax rate in the free world.""",0
10200,"""federal investigators found a company that (david perdue) ran discriminated against women -- paid them less than men for the same work.""",0
10201,"on contraception, his plan is ""cheaper and easier for you"" than sen. mark udall’s",1
10203,"""obama admin gutted projchildsafe budget to provide trigger locks and safety kits.""",1
10204,"obamacare ""cuts seniors’ medicare.""",1
10205,"""miller brewing is not a u.s. company any more. neither is anheuser-busch.""",0
10206,"his comment about extremists being a jv team ""wasn’t specifically referring to"" islamic state.",1
10207,"""eight out of the nine states with competitive senate races, hispanics make up less than 10 percent of the electorate.""",0
10208,"""scott walker cut school funding more per student than any governor in america.""",0
10209,"isis is ""right now crucifying christians in iraq, literally nailing christians to trees.""",1
10211,opponent glenn hegar expressed pride in legislated cuts to public school funding.,0
10212,"""we cut our deficits by more than half.""",0
10213,"in georgia, perdue’s company closed plants and moved jobs to china.",0
10214,"mark pryor voted ""to give social security benefits to illegal immigrants.""",1
10215,"""mcdonald’s hamburgers are only 15 percent ‘real beef.’ the other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer.""",1
10216,"""mcdonald’s workers in denmark have a union. earn $45,000/year.""",0
10217,"dan sullivan approved a ""light sentence"" for a sex offender who got out of prison and is now charged with a gruesome murder and sexual assault.",1
10218,"""scott walker gave wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns"" and got $570 million in job-development incentives",1
10219,"thomas jefferson said, ""that government is best which governs the least, because its people discipline themselves.""",1
10220,"sen. jeanne shaheen’s ""wealth has surged while in public office.""",1
10221,"""over 73% of all donations raised (from the als ice bucket challenge) are going to fundraising, overhead, executive salaries, and external donations.""",1
10222,"""if black america were a country, it’d be the 15th wealthiest nation in the world.""",1
10223,"rick scott has ""teamed up with a felon convicted of running a ponzi scheme to smear charlie crist.""",1
10224,"michigan u.s. senate candidate terri lynn land ""said guaranteeing equal pay for women who do the same job as men is not a good idea.""",1
10225,"pinnacle overlook in southwest virginia is ""closer to eight other state capitals than to richmond.""",0
10226,"the prosecutor who brought the indictment of texas gov rick perry ""has ties to obama. he has ties to the democrats.""",1
10228,"in the latest jobs numbers wisconsin ""ranked third in the midwest.""",0
10229,"""wisconsin’s dead last in midwest job growth.""",0
10230,"documents released by edward snowden reveal that american, british and israeli intelligence agencies worked together to create the islamic state.",1
10231,david perdue made tens of millions of dollars piling a firm with billions in debt.,1
10232,"""i've been here almost every day.""",1
10233,"""the number of swat raids have gone up by 1,400 percent since the 1980s.""",0
10234,"under mayor tom barrett, the number of milwaukee police officers ""has not increased.""",0
10236,"in ferguson, mo., ""you've got three black officers and 50 white officers with a town that is 67 percent african-american.""",0
10237,"ted cruz ""was just bribed by the kochs to introduce a bill that would give them and their allies america’s national forests, parks, and other public lands and open them for mining, drilling, fracking and logging.""",1
10238,the milwaukee police department has seized nearly as many firearms this year as the much larger new york city police department.,0
10239,"sen. jack reed ""cast the deciding vote in the senate for the affordable care act.""",1
10240,"sen. jeff merkley ""voted six times for more debt.""",1
10241,"charlie ""crist made it easier for duke to take your money.""",1
10242,"marilinda garcia supports ""$150 billion in new taxes.""",1
10243,"congress is ""on a five-week vacation.""",1
10245,"charlie crist rode on a jet that ""belongs to a serial polluter with a history of environmental violations fined nearly $2 million for polluting water.""",0
10246,"""far more children died last year drowning in their bathtubs than were killed accidentally by guns.""",1
10247,kasim reed has kept every promise he made as a candidate.,0
10248,"the former president of the czech republic said the american people were a ""confederacy of fools"" for electing barack obama.",1
10249,"the wife of the ferguson, mo., police chief said african-americans in ferguson ""are feral and violent.""",1
10250,"""if 20 million illegals vote, you can kiss the second amendment goodbye.""",1
10251,"""wisconsin is #1 in the midwest for personal income growth over the year.""",0
10252,"gov kitzhaber oversaw creation of the oregon driver card law ""behind closed doors without allowing any input from citizens who represent the public interest.""",1
10253,"the islamic state, or isis, was ""cast off by al-qaida because"" it was ""considered too extreme.""",0
10254,"he ""voted for even stronger protections (in the violence against women act) than obama's agenda will allow.""",1
10257,"""kids coming from an affluent background"" are ""taking advantage of all these student loan programs and grants"" while many middle-class families with no connection to college are picking up the tab.",1
10258,"""there are only about 10 people in the united states senate who have any real business experience.""",0
10259,"""having a baby is a leading cause of poverty spells in the united states.""",1
10260,"""president obama hijacked the farm bill (and) turned it into a food stamp bill.""",1
10262,"""our men and women of the guard have been forced to contact food banks to feed themselves.""",1
10263,"tom steyer is a ""california billionaire who stands to profit by blocking keystone"" and ""is spending big to help"" bruce braley.",1
10264,"scott walker's jobs agency gives financial incentives that lead ""wisconsin companies to look at shipping jobs elsewhere. ... a company got $4.6 million in taxpayer money and actually reduced its jobs by 300 people.""",1
10265,"michelle nunn ""spent most of her childhood"" in perry, ga.",1
10266,"""super bowl sunday has the highest rate of domestic violence.""",1
10267,fox news gave republican senators twice the air time as democrats during a hearing about the islamic state.,0
10268,"""three of five detainees swapped (for bowe bergdahl) are now isis leaders.""",1
10269,"the obama administration is using as its ""legal justification for these airstrikes (on the islamic state), an authorization for military force that the president himself has called for repeal of.""",0
10270,"""more than 70,000"" job openings are listed on a state jobs website.",0
10271,almost every state has offered an insurance plan on its health exchange that does not cover abortion.,0
10273,"""all four on mount rushmore, they were all independents at one critical point in their career.""",1
10274,"charlie crist ""voted against minimum wage when he was in the senate.""",1
10275,"""2014 federal tax refunds to be delayed until october 2015.""",1
10276,"under my platform, ""i will make no changes to the current (medicare) system for current retirees and anyone approaching retirement.""",1
10277,"republicans ""made it easier to buy a gun"" in states they won in 2010.",1
10279,"""under the administration of gov scott walker, northern wisconsin’s mining economy is moving forward and more people are getting good, high-paying jobs.""",1
10280,jeb bush -- not charlie crist -- signed legislation that let duke energy collect money for nuclear projects.,0
10281,"""3,000 teachers lost their jobs when (crist) was governor.""",1
10284,"""the united states is the only industrialized country that does not guarantee paid time off to care for a new child.""",0
10285,"of mitch mcconnell, ""what can happen in 30 years? a senator can become a multi-millionaire in public office.""",0
10286,"""weeks after accepting a quarter-million-dollar campaign contribution"" from a hospital board chairman, greg abbott went to court against victims of a drug-taking neurosurgeon.",1
10287,"""iowa has the fourth fastest-growing personal income in the united states, while nationally, the real wage has decreased over the past eight years that congressman (bruce) braley has been there by 2.7 percent.""",1
10288,"""as district attorney, susan happ took $180,000"" in a ""shady"" land deal ""from a man charged with multiple felony counts of sexual assault before she offered him a deferred prosecution.""",1
10289,four million women have fallen into poverty in the last six years.,0
10290,"my office sends federal ""money back every year.""",1
10291,new glarus brewing co.’s spotted cow is available only in wisconsin.,0
10292,"the obama administration originally ""wanted 10,000 troops to remain in iraq -- not combat troops, but military advisers, special operations forces, to watch the counterterrorism effort.""",0
10293,the no. 1 cause of death for african-american males 15-34 is murder.,0
10294,"he ""invested over $100 million in worker training.""",0
10295,"""nazi imagery [was used] by the block for governor campaign to describe supporters of allan fung for governor.""",1
10297,"the greenlight pinellas 1-cent sales tax ""is permanent, we never get to vote on this again.""",0
10298,"raising the minimum wage to $10.10 an hour, ""would help lift over a million americans out of poverty.""",0
10299,"raising the minimum wage to $10.10 an hour ""will destroy between half a million and one million jobs.""",0
10300,"rick scott changed his promise from 700,000 jobs created ""on top of what normal growth would be"" to just 700,000 jobs.",1
10301,"president barack obama’s recent new york fundraising trip ""cost between $25 million and $50 million.""",1
10302,the u.s. supreme court struck down wisconsin's photo id election law,0
10303,"""as mayor, [allan fung] raised taxes three times.""",1
10304,the united states was not one of 16 countries where david perdue said in his pillowtex deposition that he created jobs.,1
10308,david perdue did not support the 2014 farm bill that u.s. sens. isakson and chambliss did.,1
10309,"congress is on ""vacation.""",1
10310,drug cartels are using social media to offer rebates so more children from central america get smuggled to the united states.,0
10311,"""the majority of austinites rent"" the places they live.",0
10315,"""more whites than blacks are victims of deadly police shootings.""",0
10316,"""washington has incentivized the militarization of local police precincts.""",1
10317,"because of president barack obama’s failure to ""push job creation,"" the black unemployment rate in ferguson, mo., is three times higher than the white unemployment rate.",1
10318,"under rosemary lehmberg, the ""travis county d.a.’s office"" convened the grand jury that indicted rick perry.",0
10319,"texas prosecutor rosemary lehmberg purchased ""72 bottles of vodka in just one store alone, in just over a year.""",0
10320,"recently rick scott ""closed 30 women’s health care centers across the state.""",1
10321,"""there is no state in the u.s. where a 40-hour minimum wage work week is enough to afford a two-bedroom apartment.""",0
10322,"""much more than 50 percent of parents out there are spankers.""",0
10323,"""it is true that we know that isis is present in ciudad juarez (mexico)""",1
10324,"""57% of the jobs created"" in austin ""from 2009 to 2013 do not pay families a living wage.""",0
10325,"since i took office, ""wisconsin ranks 11th in the nation in total business establishment growth compared to 47th in the years mary burke was commerce secretary.""",0
10327,"""more than three women per day lose their lives at the hands of their partners.""",0
10328,"of the 98 top oxycodone-dispensing doctors who used to live in florida, ""today, there are none.""",0
10329,"u.s. house candidate carlos curbelo ""supported raising flood insurance rates.""",1
10330,"children who witness domestic violence are ""twice as likely to commit it themselves.""",0
10331,"""income inequality is worse in towns run by democrat mayors than in towns run by republican mayors.""",0
10332,"""before i was state treasurer, my rhode island business helped create over 1,000 jobs.""",1
10333,"while ""arkansas seniors depend on social security and medicare,"" sen. mark pryor supports an overhaul so they ""couldn’t get social security until they turn 68 or 69.""",1
10334,"when news broke that ferguson 18-year-old michael brown was a suspect in a robbery, ""msnbc practically went off the air for a while to have behind-closed-doors meetings to figure out how to deal with this new revelation.""",1
10335,"obamacare ""prevents (florida) from regulating insurance.""",0
10337,"""in six years, (u.s. rep. gary) peters introduced zero bills that became law.""",1
10338,"greg abbott did ""nothing"" to pursue reports of the sexual abuse of boys at a west texas state-run school.",1
10339,"""you have 200,000 to 400,000 military veterans on the street in this country on any given day.""",1
10340,"dick cheney ""de-ba’athisized the iraqi government and created isis.""",1
10341,"""as chair of the senate education committee, i led the charge to restore most of the education cuts from last session.""",1
10344,"women still do not get paid as much as men, even ""for the same work, period.""",0
10345,"nfl commissioner roger goodell interviewed domestic abuse victim janay rice with ray rice present and for ""every domestic violence agency, every law enforcement agency, that’s a no-no.""",1
10346,john cornyn dodged the draft during the vietnam war.,1
10347,"mary burke ""wasted 12.5 million dollars on a vacant lot"" in a move that ""could cost taxpayers nearly $25 million.""",1
10348,"rep. bruce braley, d-iowa, ""skipped an important va reform hearing to attend three fundraisers.""",1
10349,"rep. bruce braley, d-iowa, missed ""79 percent of veterans affairs committee hearings.""",0
10350,"a ""regulatory thing"" means you can’t show someone drinking beer on camera.",0
10351,"jason carter backed three of nathan deal’s budgets but accuses the governor of ""underfunding education.""",0
10353,"rep. tom reed, r-n.y., ""voted to raise the social security retirement age on us.""",0
10354,"""women in florida make 83 cents for every dollar a man makes.""",0
10355,"""i'm not a conspiracy theorist and i never allow conspiracy theorists on my program.""",1
10356,"""we know how to stop aids: persuade men not to have sex with men.""",1
10357,"twenty percent of single adults, ages 21 to 25 with no kids, ""are not working or even in school trying to find a job.""",1
10358,"""97 percent of the 100 poorest counties in america are in red states.""",0
10359,"""we’ve had about 3,000 murders"" in connection with lax border security.",1
10360,"mark pryor ""continues to insist"" that obamacare is ""an amazing success.""",1
10362,"the united states is the leading nation in the world ""with the highest amount of doubt about the conventional wisdom of climate change.""",0
10364,"milwaukee county taxpayers paid $370,000 to settle a lawsuit over a decision by sheriff david a. clarke jr. to use ""untrained corrections officers"" rather than deputies to patrol the lakefront.",1
10365,"jason carter has ""gotten david axelrod to come down and be his campaign advisor.""",1
10366,"""by some estimates, as few as 2 percent of the 50,000 (central american) children who have crossed the border illegally this year have been sent home.""",0
10367,"the state of new york is the ""worst in the nation in economic recovery.""",1
10370,"greg abbott was ""charged with overseeing the state cancer research fund. but he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight. they showered abbott with gifts and free vacations.""",1
10371,"""scott walker has given a $10,000 tax deduction to millionaires who send their kids to exclusive private schools.""",0
10374,"""the minimum number of infrastructure (needs) in atlanta is $900 million.""",1
10375,"after merging with tim hortons of canada, burger king is ""not moving. … our headquarters will remain in miami"" and ""(we) will continue to pay all of our federal, state and local u.s. taxes.""",1
10376,"at ""least a quarter of those apprehended"" at the border ""have criminal records.""",1
10377,"on tax inversions, the wall street journal ""surprisingly attacked this tax scheme.""",0
10378,"""russia has more diversity in its governmental representation than we do in texas.""",0
10379,"in 2012, there were nearly 12.2 million arrests and only 410 ""uses of deadly force"" by police in the united states.",1
10380,george soros and bill gates are funding a bioweapons lab in sierra leone that caused the ebola outbreak.,1
10383,"top u.s. intelligence officials have told ""every member of congress, including the president, we’re about to be attacked in a serious way because (of) the threat emanating from syria and iraq.""",0
10385,brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated dekalb county.,0
10387,"""the best evidence is that you lose -- if you use marijuana as a teenager regularly -- eight iq points.""",1
10388,"""we have a 40 to 50 percent dropout rate in our inner-city schools.""",1
10389,"""the fundraising numbers are in, and our grassroots support is unmatched!""",0
10390,"gop primary opponents glenn grothman and joe leibham cast a ""compromise vote that cost $788 million"" in higher electricity costs.",0
10392,"that, as a supreme court justice, greg abbott found that a company whose vacuum cleaners were sold door to door ""had no responsibility"" in the hiring of a salesman who raped a customer.",0
10394,"""in 1978, a student who worked a minimum-wage summer job could afford to pay a year's full tuition at the 4-year public university of their choice.""",0
10395,"""the increase in the garbage tax that [mayor allan fung] imposed in cranston for some people has been as much as $200.""",1
10396,"oregon ""is the most trade-dependent state in the nation""",1
10398,"a tax plan promoted by north carolina senate candidate thom tillis will ""overwhelmingly benefit the wealthy.""",0
10400,"""i've either balanced every budget or we turned back a surplus.""",1
10401,"michelle nunn’s ""foundation directed grants to an islamic group tied to radical terrorists.""",1
10402,"""so far, the war in gaza has left more than 1,800 palestinians dead -- the population equivalent to 100 9/11s.""",1
10404,"""all aboard florida is a 100 percent private venture. there is no state money involved.""",1
10405,"""there have been at least 100 shootings each year [angel taveras] has been mayor"" of providence.",0
10406,"al sharpton went to ferguson, mo., and is ""declaring as a matter of fact that ... michael brown didn't use any deadly force or posed no deadly threat to the officer.""",0
10407,"""in 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. today, despite record-breaking profits, corporate taxes bring in less than 9 percent.""",0
10408,"under a proposed medical marijuana amendment in florida, ""you don't get refills -- you get it forever.""",1
10409,"rick scott took $200,000 from a family that leased land for drilling ""and now he is trying to hide from it.""",1
10410,"""the music industry is the biggest export from africa after oil and gas.""",1
10411,"""what (the obama administration is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants.""",1
10412,"""the president's come out with rules that say, 'no new coal-fired power plants.' """,1
10413,"""i haven’t really proposed (phasing out aid to israel) in the past.""",1
10414,"africa is spending ""the highest percentage of their gdp on education of any part of the world.""",0
10415,"""it cost us more to shut the government down than to keep it open.""",1
10416,"austin mayoral candidate ""mike martinez takes corporate money.""",0
10417,"milwaukee county sheriff david a. clarke jr. advised citizens to ""point that barrel center mass and pull the trigger"" because ""911 is not our best option.""",1
10419,"tom cotton ""voted against preparing america for pandemics like ebola.""",1
10421,"wisconsin is ""dead last in income growth"" among midwestern states during gov scott walker’s term.",0
10422,"""my campaign alone has created more jobs in the state of rhode island than narragansett beer.""",0
